0,1,2,3,4,5,6,7
-2.084839371,-0.471673241,-0.955541967,-0.567287988,-0.953226418,-1.510385965,0.921727526,0.437953789
0.003699672,-0.999117534,0.202002901,1.612000576,-0.375642221,0.378517702,0.113693344,1.718011407
-1.456239669,0.483522057,-0.508604699,-0.316406316,-1.695560085,-1.943310376,0.299485702,0.147369729
-1.59552441,-0.219744236,1.039402669,0.38158679,0.109093785,-0.155067994,0.156053702,0.007313695
0.995277316,-1.51725887,-0.101197976,1.415742199,-0.054355853,0.611215942,0.196937667,0.641808965
-1.615562274,-0.464377021,0.645101553,0.026458057,0.564183328,0.17244382,-0.022282881,-0.31605987
-1.691316811,-0.416111682,-1.971241688,0.406238869,-1.483645207,-0.323295619,0.69970939,1.053498409
1.220335525,-0.739941524,1.164288456,0.515532648,-0.038725959,-0.845042908,-0.292454312,-0.426006498
-1.644555899,-0.611274708,-1.380290986,0.532566617,-0.443371287,0.719963852,0.322904788,0.655083142
0.987655431,-1.531700771,0.981324495,0.148120514,0.740008343,-0.950625703,-0.85484724,0.796469404
-2.001336479,-0.984315686,0.029208879,-0.492196859,1.354866193,0.739888885,0.078950029,-0.520563528
-0.724099212,1.170707693,1.317384534,0.364695219,-0.584890683,-0.453471752,-0.987197036,-0.778358084
2.271446811,1.826421842,-0.379045853,0.583413456,0.326858959,0.502730587,-1.11184789,0.425953882
0.584475293,-0.068810699,1.491930331,0.697752841,-0.468060878,-1.153918492,-0.744436421,0.369639255
2.731986312,2.968617971,-0.187863272,0.717713761,0.583848656,0.271477527,-0.158484327,1.219629109
0.881142283,-0.429668075,-1.100472884,0.657130118,-0.901029729,-0.191308083,-1.035491412,0.57516523
-1.476277533,0.238889272,-0.902905815,-0.671535049,-1.240470542,-1.615798563,0.121149119,-0.176003836
-2.028059528,-0.544519875,-0.167440707,-0.263395874,-0.14049727,-0.6308824,0.634091215,0.201225304
-0.00631926,-1.121433926,0.004852342,1.43443621,-0.14809745,0.542273609,0.024525053,1.556324624
-1.614499104,-0.244325531,-0.788839311,1.065259717,-1.126005601,0.228696131,0.590409663,1.140143489
1.116219425,0.469965663,0.362164106,-0.065515068,-1.112944607,-1.81132284,-1.435715101,-0.33096345
0.066024309,-1.704361345,1.433467704,-2.192819947,-0.984802213,1.832323372,1.256422021,0.079571254
-0.03497283,0.645360387,-0.856777539,0.258797694,0.141910607,1.63997669,-2.112962707,-1.413490848
1.065998296,0.337202709,-0.074518762,-0.140587157,-1.029849022,-1.185237071,-0.708986426,-1.705098763
4.192380187,0.742090748,-0.77001883,0.975811329,-0.790678834,-0.596437574,1.155912788,-0.592447415
-0.034105478,-0.901689604,1.24214362,0.624435535,0.046728017,-0.884749987,-0.033026305,0.821910098
2.17446477,1.888821914,-1.406679423,0.382013619,-0.630319376,0.085556884,-0.008314612,-0.549766164
-2.028059528,-0.544519875,-0.167440707,-0.263395874,-0.14049727,-0.6308824,0.634091215,0.201225304
-0.155989177,2.367577558,1.068629772,-0.012621387,0.107698004,-0.401854393,-0.322849413,-0.395337325
0.880780929,-2.070436099,-0.792529558,-1.043593433,1.065003052,-1.011349733,-1.013052387,0.224763977
